Username,Handle,Timestamp,Text,Comments,Likes,Retweets
Diana,@dhachtsam,2020-10-17T12:38:39.000Z,"Try YiNote, aka Turbonote extension, for taking & sharing notes while watching videos https://yinote.co/#installation #edtech #YiNote #Turbonote #mooc #flipclass #video #youtube #notetaking",,,
Ionut B,@cbeyzad,2020-10-17T09:21:58.000Z,"My system of note taking is simple. I only use 
@RoamResearch
 and 
@readwiseio
. For #kindle books the process is streamlined; for paper books I use readwise camera highlights to take notes and then sync with #roam. #notetaking",,,
Notesgen,@notesgen,2020-10-17T05:39:27.000Z,"Read: https://medium.com/@accounts_33128/top-5-note-taking-mistakes-how-to-fix-them-b2c216cab036…

#leadwithnotesgen #success #motivation #goals #notes #notetaking #learners",,2,2
Ron Burba,@ultimaron,2020-10-17T03:41:41.000Z,"Messing with my 
@SamsungMobileUS
  Galaxy Tab S 7 + Note Shelf app This Note is called "" The questions We Ask Ourselves""#AmazonPrimeDay
 #samsung #NoteToSelf #Notes #questions #Notetaking",,,
Emna Ayadi,@emna__ayadi,2020-10-16T22:45:12.000Z,"Replying to 
@ckenst
 and 
@AST_NewsGreat notebook ! I like it, enjoy #notetaking",1,,1
Chris Kenst,@ckenst,2020-10-16T22:40:57.000Z,"This notebook is officially full. I just went through ever page to make sure Ive pulled out all the ideas for future use. Now to find a new notebook for next week! 

#notetaking cc 
@AST_News",1,,7
Landmark Outreach,@LMKOutreach,2020-10-16T19:01:05.000Z,"In remote or in-person settings, the two-column note-taking method is an effective strategy for students to organize what they read into main ideas and details. #remoteteaching #remotelearning #distancelearning #distanceteaching #onlinelearning #notetakingThe Two-Column Method of Note-taking | Landmark Outreach
Learn about the two-column method of note-taking as a strategy to help students organize reading in to main ideas and details.
landmarkoutreach.org",,,
Blesl Anja,@MotionAgile,2020-10-16T15:31:05.000Z,"Today’s #viztober is >Youth Justice<

#inktober #skribeforward #sketchnote #sketchnotes #inktobergermany #vizthink #visualthinking #sketchnoting #illustration #visualnotes #notetaking #drawing",,,1
Hub Resource,@hub_resource,2020-10-16T09:42:20.000Z,#NoteTakingTips  #NoteTaking,,1,2
Degrassi High,@DegrassiHigh2,2020-10-16T08:05:58.000Z,"The benefits of note-taking by hand. By Hetty Roessingh, University of Calgary #hettyroessingh #notetakingThe benefits of note-taking by hand
Computers and phones have become the go-to note-taking method for many. But your brain benefits from an old-fashioned pen and paper.
bbc.com",,,
Tim King,@hellotimking,2020-10-14T22:44:25.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some | Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
Neuron Education,@neuron_ed,2020-10-14T20:11:06.000Z,"Check out our website for grade-saving resources 
 #notetaking #homeworkhelp",,1,1
Imani,@ACEImani,2020-10-14T20:01:02.000Z,"Brainstorming with clarity~
#matcha #golde #notetaking https://instagram.com/p/CGVisCigMmW/?igshid=1cfwqgm0wzzyj…",,,1
TwoSidesNorthAmerica,@TwoSidesNA,2020-10-14T19:01:13.000Z,"Taking notes by hand is a win-win, and belongs in every student’s cognitive tool kit. Check out this excellent article from 
@ConversationUS
 about note-taking with paper and pen. 

#PaperFacts #notetaking #studyideas #productivityNote-taking by hand: A powerful tool to support memory
Taking notes by hand involves manipulating and transforming information in ways that lead to deeper understanding.
theconversation.com",,,3
"Law, Disability & SC",@LawDisabilitySC,2020-10-14T14:17:50.000Z,"Check out this useful thread! #AccessibleApps #NoteTaking #DisabilityTwitterQuote Tweet
Frances Ryan
@DrFrancesRyan
 · Oct 14
Writer and/or disability Twitter! What’s the best dictaphone notetaking app, please? One I can dictate notes to verbally and it’ll translate it into written words (that hopefully come out making sense). Thanks.
Show this thread",,,
MOR,@MOR_UKproducts,2020-10-14T12:54:51.000Z,Full colour #ukmade eco friendly notebook. Total flexibility on cover and internal pages. Contact us for more info #ecofriendly #notebook #ukbusiness #promotionalproducts #notetaking,,,3
James | SEL,@jamesgranahan,2020-10-14T09:35:24.000Z,"""The most common mistake people make when taking notes is writing down too much"" https://lttr.ai/Xu9P

 #takenotes #learning #learninghack #NoteTaking",,,
Safe Tricks,@SafeTricks,2020-10-14T08:56:18.000Z,"Google Keep Alternative & Similar Software

#NoteTaking #notes #Software #extracttext 
@msonenote
 @simplenoteapp
 @quip
 #alternative #similarsoftwareGoogle Keep Alterntative & Similar Software - 2020 | Top Best Alternative
We hope you all like these Google Keep alternatives. If you believe we missed any important Google Keep alternatives platform then don’t forget to share it with us. We will definitely review it and...
topbestalternative.com",,,
Tim King,@hellotimking,2020-10-14T07:43:58.000Z,"Welcome to the #Note Taking Apocalypse 

In a sea of apps, what matters most when taking notes?

If you’re like me then you’ll have found yourself often standing at the | Read More... https://hellotimking.com/2018/06/welcome-to-the-note-taking-apocalypse/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #dokuwiki #notetaking #notetaking #onenote #wardcunninghamWelcome to the Note Taking Apocalypse | hellotimking
If you’re like me then you’ll have found yourself often standing at the front door of your app store staring at the sheer wall of note taking applications that are available at the moment.
hellotimking.com",,,
John Plummer,@profjohnbrasil,2020-10-13T22:41:04.000Z,"I saw link for this My Notes app for Chrome and decided to check it out. It's very cool and really handy when I want to take a quick note and don't want to wait for Onenote to open 
  #mynotes #Chrome #notetaking",,,
Thomas Smith,@tomsmith585,2020-10-13T17:35:14.000Z,"“How I Capture Content Ideas and Create 500+ Pieces of Content Per Day” by Thomas Smith 
@Medium
 @BttrMarketing
 #notetaking #analogHow I Capture Content Ideas and Create 500+ Pieces of Content Per Day
Unapologetically analog
link.medium.com",,,
Eminence Classes,@ClassesEminence,2020-10-12T08:21:23.000Z,"stay dedicated because great things take time.!!
#Classes #onlinelearning #onlineclasses #dedication
#classesinsakinaka #sakinakaclass #eminence #eminenceclasses #Mumbaiclass #stationery #studystudystudy #studyblog #time #notetaking #love #studystudy #studymood",,,1
Erdem,@rifaterdemsahin,2020-10-12T08:00:48.000Z,"easy finding your results on twitter
#notetaking",,,
Dr. Roy Schestowitz (罗伊),@schestowitz,2020-10-12T00:32:12.000Z,Best #NoteTaking Apps for #GNU #Linux http://tuxmachines.org/node/143101,,2,
David Watts Consulting,@DWCInfo,2020-10-11T19:18:54.000Z,"Great #notetaking strategy called the #CornellMethod. Gives you organization, makes it easier for you to understand your notes, and allows space for you to summarize everything you’ve written down. #AcademicTips
#Student1stAthlete2nd",,,1
Erdem,@rifaterdemsahin,2020-10-11T19:01:40.000Z,"Using twitter as backlog for the ideas instead of airtables as it makes more sense as they are just notes and could be hashtagged

#notetaking 

#backlogvideocontencreation",1,,
Mark Cassell,@Mark_Cassell,2020-10-11T17:05:05.000Z,"""Not Just a Notebook"" - Contains quirky prompts to jog the Muse who isn't playing fair. #writingcommunity #writers #author #writerslife #amwriting #writing #cats #catbooks #notetaking Get it here> https://allauthor.com/amazon/44694/",,,1
prakash sellathurai,@prakash1729brt,2020-10-11T15:34:29.000Z,"A Curated List of Product Management Resources

https://prakashsellathurai.com/2020/10/03/awesome-product-management…

#productmanagement #resourcemanagement #careers #article #github #productivity #projectmanagement
#notetaking #agile #productthinkingawesome-product-management
Curated list of Product Management Resources
prakashsellathurai.com",,1,
Viviana Tipiani,@vivianatipiani,2020-10-11T14:41:20.000Z,"Ayer con Andrew Gillies 
 #notetaking",2,,7
